distance_m,angle_deg,rpm,launch_speed_mps
1.94,60,1250,15.505
1.94,60,1300,15.505
1.94,60,1350,15.505
1.94,60,1400,15.505
1.94,60,1450,15.505
1.94,60,1500,15.505
1.96,60,900,14.908
1.96,60,950,14.908
1.96,60,1000,14.908
1.96,60,1050,14.908
1.96,60,1100,14.908
1.96,60,1150,14.908
1.96,60,1200,14.908
1.96,60,1250,14.908
1.96,60,1300,14.908
1.96,60,1350,14.908
1.96,60,1400,14.908
1.96,60,1450,14.908
1.96,60,1500,14.908
1.97,60,900,14.394
1.97,60,950,14.394
1.97,60,1000,14.394
1.97,60,1050,14.394
1.97,60,1100,14.394
1.97,60,1150,14.394
1.97,60,1200,14.394
1.97,60,1250,14.394
1.97,60,1300,14.394
1.97,60,1350,14.394
1.97,60,1400,14.394
1.97,60,1450,14.394
1.97,60,1500,14.394
1.99,60,900,13.947
1.99,60,950,13.947
1.99,60,1000,13.947
1.99,60,1050,13.947
1.99,60,1100,13.947
1.99,60,1150,13.947
1.99,60,1200,13.947
1.99,60,1250,13.947
1.99,60,1300,13.947
1.99,60,1350,13.947
1.99,60,1400,13.947
1.99,60,1450,13.947
1.99,60,1500,13.947
2.01,60,900,13.554
2.01,60,950,13.554
2.01,60,1000,13.554
2.01,60,1050,13.554
2.01,60,1100,13.554
2.01,60,1150,13.554
2.01,60,1200,13.554
2.01,60,1250,13.554
2.01,60,1300,13.554
2.01,60,1350,13.554
2.01,60,1400,13.554
2.01,60,1450,13.554
2.01,60,1500,13.554
2.03,60,900,13.206
2.03,60,950,13.206
2.03,60,1000,13.206
2.03,60,1050,13.206
2.03,60,1100,13.206
2.03,60,1150,13.206
2.03,60,1200,13.206
2.03,60,1250,13.206
2.03,60,1300,13.206
2.03,60,1350,13.206
2.03,60,1400,13.206
2.03,60,1450,13.206
2.03,60,1500,13.206
2.05,60,900,12.896
2.05,60,950,12.896
2.05,60,1000,12.896
2.05,60,1050,12.896
2.05,60,1100,12.896
2.05,60,1150,12.896
2.05,60,1200,12.896
2.05,60,1250,12.896
2.05,60,1300,12.896
2.05,60,1350,12.896
2.05,60,1400,12.896
2.05,60,1450,12.896
2.05,60,1500,12.896
2.06,60,900,12.616
2.06,60,950,12.616
2.06,60,1000,12.616
2.06,60,1050,12.616
2.06,60,1100,12.616
2.06,60,1150,12.616
2.06,60,1200,12.616
2.06,60,1250,12.616
2.06,60,1300,12.616
2.06,60,1350,12.616
2.06,60,1400,12.616
2.06,60,1450,12.616
2.06,60,1500,12.616
2.08,60,900,12.364
2.08,60,950,12.364
2.08,60,1000,12.364
2.08,60,1050,12.364
2.08,60,1100,12.364
2.08,60,1150,12.364
2.08,60,1200,12.364
2.08,60,1250,12.364
2.08,60,1300,12.364
2.08,60,1350,12.364
2.08,60,1400,12.364
2.08,60,1450,12.364
2.08,60,1500,12.364
2.1,60,900,12.135
2.1,60,950,12.135
2.1,60,1000,12.135
2.1,60,1050,12.135
2.1,60,1100,12.135
2.1,60,1150,12.135
2.1,60,1200,12.135
2.1,60,1250,12.135
2.1,60,1300,12.135
2.1,60,1350,12.135
2.1,60,1400,12.135
2.1,60,1450,12.135
2.1,60,1500,12.135
2.12,60,900,11.927
2.12,60,950,11.927
2.12,60,1000,11.927
2.12,60,1050,11.927
2.12,60,1100,11.927
2.12,60,1150,11.927
2.12,60,1200,11.927
2.12,60,1250,11.927
2.12,60,1300,11.927
2.12,60,1350,11.927
2.12,60,1400,11.927
2.12,60,1450,11.927
2.12,60,1500,11.927
2.14,55,900,272.935
2.14,55,950,272.935
2.14,55,1000,272.935
2.14,55,1050,272.935
2.14,55,1100,272.935
2.14,55,1150,272.935
2.14,55,1200,272.935
2.14,55,1250,272.935
2.14,55,1300,272.935
2.14,55,1350,272.935
2.14,55,1400,272.935
2.14,55,1450,272.935
2.14,55,1500,272.935
2.14,60,900,11.736
2.14,60,950,11.736
2.14,60,1000,11.736
2.14,60,1050,11.736
2.14,60,1100,11.736
2.14,60,1150,11.736
2.14,60,1200,11.736
2.14,60,1250,11.736
2.14,60,1300,11.736
2.14,60,1350,11.736
2.14,60,1400,11.736
2.14,60,1450,11.736
2.14,60,1500,11.736
2.15,55,900,50.934
2.15,55,950,50.934
2.15,55,1000,50.934
2.15,55,1050,50.934
2.15,55,1100,50.934
2.15,55,1150,50.934
2.15,55,1200,50.934
2.15,55,1250,50.934
2.15,55,1300,50.934
2.15,55,1350,50.934
2.15,55,1400,50.934
2.15,55,1450,50.934
2.15,55,1500,50.934
2.15,60,900,11.56
2.15,60,950,11.56
2.15,60,1000,11.56
2.15,60,1050,11.56
2.15,60,1100,11.56
2.15,60,1150,11.56
2.15,60,1200,11.56
2.15,60,1250,11.56
2.15,60,1300,11.56
2.15,60,1350,11.56
2.15,60,1400,11.56
2.15,60,1450,11.56
2.15,60,1500,11.56
2.17,55,900,36.633
2.17,55,950,36.633
2.17,55,1000,36.633
2.17,55,1050,36.633
2.17,55,1100,36.633
2.17,55,1150,36.633
2.17,55,1200,36.633
2.17,55,1250,36.633
2.17,55,1300,36.633
2.17,55,1350,36.633
2.17,55,1400,36.633
2.17,55,1450,36.633
2.17,55,1500,36.633
2.17,60,900,11.399
2.17,60,950,11.399
2.17,60,1000,11.399
2.17,60,1050,11.399
2.17,60,1100,11.399
2.17,60,1150,11.399
2.17,60,1200,11.399
2.17,60,1250,11.399
2.17,60,1300,11.399
2.17,60,1350,11.399
2.17,60,1400,11.399
2.17,60,1450,11.399
2.17,60,1500,11.399
2.19,55,900,30.247
2.19,55,950,30.247
2.19,55,1000,30.247
2.19,55,1050,30.247
2.19,55,1100,30.247
2.19,55,1150,30.247
2.19,55,1200,30.247
2.19,55,1250,30.247
2.19,55,1300,30.247
2.19,55,1350,30.247
2.19,55,1400,30.247
2.19,55,1450,30.247
2.19,55,1500,30.247
2.19,60,900,11.249
2.19,60,950,11.249
2.19,60,1000,11.249
2.19,60,1050,11.249
2.19,60,1100,11.249
2.19,60,1150,11.249
2.19,60,1200,11.249
2.19,60,1250,11.249
2.19,60,1300,11.249
2.19,60,1350,11.249
2.19,60,1400,11.249
2.19,60,1450,11.249
2.19,60,1500,11.249
2.21,55,900,26.449
2.21,55,950,26.449
2.21,55,1000,26.449
2.21,55,1050,26.449
2.21,55,1100,26.449
2.21,55,1150,26.449
2.21,55,1200,26.449
2.21,55,1250,26.449
2.21,55,1300,26.449
2.21,55,1350,26.449
2.21,55,1400,26.449
2.21,55,1450,26.449
2.21,55,1500,26.449
2.21,60,900,11.111
2.21,60,950,11.111
2.21,60,1000,11.111
2.21,60,1050,11.111
2.21,60,1100,11.111
2.21,60,1150,11.111
2.21,60,1200,11.111
2.21,60,1250,11.111
2.21,60,1300,11.111
2.21,60,1350,11.111
2.21,60,1400,11.111
2.21,60,1450,11.111
2.21,60,1500,11.111
2.23,55,900,23.871
2.23,55,950,23.871
2.23,55,1000,23.871
2.23,55,1050,23.871
2.23,55,1100,23.871
2.23,55,1150,23.871
2.23,55,1200,23.871
2.23,55,1250,23.871
2.23,55,1300,23.871
2.23,55,1350,23.871
2.23,55,1400,23.871
2.23,55,1450,23.871
2.23,55,1500,23.871
2.23,60,900,10.983
2.23,60,950,10.983
2.23,60,1000,10.983
2.23,60,1050,10.983
2.23,60,1100,10.983
2.23,60,1150,10.983
2.23,60,1200,10.983
2.23,60,1250,10.983
2.23,60,1300,10.983
2.23,60,1350,10.983
2.23,60,1400,10.983
2.23,60,1450,10.983
2.23,60,1500,10.983
2.24,55,900,21.98
2.24,55,950,21.98
2.24,55,1000,21.98
2.24,55,1050,21.98
2.24,55,1100,21.98
2.24,55,1150,21.98
2.24,55,1200,21.98
2.24,55,1250,21.98
2.24,55,1300,21.98
2.24,55,1350,21.98
2.24,55,1400,21.98
2.24,55,1450,21.98
2.24,55,1500,21.98
2.24,60,900,10.863
2.24,60,950,10.863
2.24,60,1000,10.863
2.24,60,1050,10.863
2.24,60,1100,10.863
2.24,60,1150,10.863
2.24,60,1200,10.863
2.24,60,1250,10.863
2.24,60,1300,10.863
2.24,60,1350,10.863
2.24,60,1400,10.863
2.24,60,1450,10.863
2.24,60,1500,10.863
2.26,55,900,20.522
2.26,55,950,20.522
2.26,55,1000,20.522
2.26,55,1050,20.522
2.26,55,1100,20.522
2.26,55,1150,20.522
2.26,55,1200,20.522
2.26,55,1250,20.522
2.26,55,1300,20.522
2.26,55,1350,20.522
2.26,55,1400,20.522
2.26,55,1450,20.522
2.26,55,1500,20.522
2.26,60,900,10.752
2.26,60,950,10.752
2.26,60,1000,10.752
2.26,60,1050,10.752
2.26,60,1100,10.752
2.26,60,1150,10.752
2.26,60,1200,10.752
2.26,60,1250,10.752
2.26,60,1300,10.752
2.26,60,1350,10.752
2.26,60,1400,10.752
2.26,60,1450,10.752
2.26,60,1500,10.752
2.28,55,900,19.356
2.28,55,950,19.356
2.28,55,1000,19.356
2.28,55,1050,19.356
2.28,55,1100,19.356
2.28,55,1150,19.356
2.28,55,1200,19.356
2.28,55,1250,19.356
2.28,55,1300,19.356
2.28,55,1350,19.356
2.28,55,1400,19.356
2.28,55,1450,19.356
2.28,55,1500,19.356
2.28,60,900,10.648
2.28,60,950,10.648
2.28,60,1000,10.648
2.28,60,1050,10.648
2.28,60,1100,10.648
2.28,60,1150,10.648
2.28,60,1200,10.648
2.28,60,1250,10.648
2.28,60,1300,10.648
2.28,60,1350,10.648
2.28,60,1400,10.648
2.28,60,1450,10.648
2.28,60,1500,10.648
2.3,55,900,18.397
2.3,55,950,18.397
2.3,55,1000,18.397
2.3,55,1050,18.397
2.3,55,1100,18.397
2.3,55,1150,18.397
2.3,55,1200,18.397
2.3,55,1250,18.397
2.3,55,1300,18.397
2.3,55,1350,18.397
2.3,55,1400,18.397
2.3,55,1450,18.397
2.3,55,1500,18.397
2.3,60,900,10.55
2.3,60,950,10.55
2.3,60,1000,10.55
2.3,60,1050,10.55
2.3,60,1100,10.55
2.3,60,1150,10.55
2.3,60,1200,10.55
2.3,60,1250,10.55
2.3,60,1300,10.55
2.3,60,1350,10.55
2.3,60,1400,10.55
2.3,60,1450,10.55
2.3,60,1500,10.55
2.32,55,900,17.594
2.32,55,950,17.594
2.32,55,1000,17.594
2.32,55,1050,17.594
2.32,55,1100,17.594
2.32,55,1150,17.594
2.32,55,1200,17.594
2.32,55,1250,17.594
2.32,55,1300,17.594
2.32,55,1350,17.594
2.32,55,1400,17.594
2.32,55,1450,17.594
2.32,55,1500,17.594
2.32,60,900,10.459
2.32,60,950,10.459
2.32,60,1000,10.459
2.32,60,1050,10.459
2.32,60,1100,10.459
2.32,60,1150,10.459
2.32,60,1200,10.459
2.32,60,1250,10.459
2.32,60,1300,10.459
2.32,60,1350,10.459
2.32,60,1400,10.459
2.32,60,1450,10.459
2.32,60,1500,10.459
2.33,55,900,16.908
2.33,55,950,16.908
2.33,55,1000,16.908
2.33,55,1050,16.908
2.33,55,1100,16.908
2.33,55,1150,16.908
2.33,55,1200,16.908
2.33,55,1250,16.908
2.33,55,1300,16.908
2.33,55,1350,16.908
2.33,55,1400,16.908
2.33,55,1450,16.908
2.33,55,1500,16.908
2.33,60,900,10.374
2.33,60,950,10.374
2.33,60,1000,10.374
2.33,60,1050,10.374
2.33,60,1100,10.374
2.33,60,1150,10.374
2.33,60,1200,10.374
2.33,60,1250,10.374
2.33,60,1300,10.374
2.33,60,1350,10.374
2.33,60,1400,10.374
2.33,60,1450,10.374
2.33,60,1500,10.374
2.35,55,900,16.316
2.35,55,950,16.316
2.35,55,1000,16.316
2.35,55,1050,16.316
2.35,55,1100,16.316
2.35,55,1150,16.316
2.35,55,1200,16.316
2.35,55,1250,16.316
2.35,55,1300,16.316
2.35,55,1350,16.316
2.35,55,1400,16.316
2.35,55,1450,16.316
2.35,55,1500,16.316
2.35,60,900,10.293
2.35,60,950,10.293
2.35,60,1000,10.293
2.35,60,1050,10.293
2.35,60,1100,10.293
2.35,60,1150,10.293
2.35,60,1200,10.293
2.35,60,1250,10.293
2.35,60,1300,10.293
2.35,60,1350,10.293
2.35,60,1400,10.293
2.35,60,1450,10.293
2.35,60,1500,10.293
2.37,55,900,15.798
2.37,55,950,15.798
2.37,55,1000,15.798
2.37,55,1050,15.798
2.37,55,1100,15.798
2.37,55,1150,15.798
2.37,55,1200,15.798
2.37,55,1250,15.798
2.37,55,1300,15.798
2.37,55,1350,15.798
2.37,55,1400,15.798
2.37,55,1450,15.798
2.37,55,1500,15.798
2.37,60,900,10.218
2.37,60,950,10.218
2.37,60,1000,10.218
2.37,60,1050,10.218
2.37,60,1100,10.218
2.37,60,1150,10.218
2.37,60,1200,10.218
2.37,60,1250,10.218
2.37,60,1300,10.218
2.37,60,1350,10.218
2.37,60,1400,10.218
2.37,60,1450,10.218
2.37,60,1500,10.218
2.39,55,900,15.34
2.39,55,950,15.34
2.39,55,1000,15.34
2.39,55,1050,15.34
2.39,55,1100,15.34
2.39,55,1150,15.34
2.39,55,1200,15.34
2.39,55,1250,15.34
2.39,55,1300,15.34
2.39,55,1350,15.34
2.39,55,1400,15.34
2.39,55,1450,15.34
2.39,55,1500,15.34
2.39,60,900,10.146
2.39,60,950,10.146
2.39,60,1000,10.146
2.39,60,1050,10.146
2.39,60,1100,10.146
2.39,60,1150,10.146
2.39,60,1200,10.146
2.39,60,1250,10.146
2.39,60,1300,10.146
2.39,60,1350,10.146
2.39,60,1400,10.146
2.39,60,1450,10.146
2.39,60,1500,10.146
2.41,55,900,14.933
2.41,55,950,14.933
2.41,55,1000,14.933
2.41,55,1050,14.933
2.41,55,1100,14.933
2.41,55,1150,14.933
2.41,55,1200,14.933
2.41,55,1250,14.933
2.41,55,1300,14.933
2.41,55,1350,14.933
2.41,55,1400,14.933
2.41,55,1450,14.933
2.41,55,1500,14.933
2.41,60,900,10.079
2.41,60,950,10.079
2.41,60,1000,10.079
2.41,60,1050,10.079
2.41,60,1100,10.079
2.41,60,1150,10.079
2.41,60,1200,10.079
2.41,60,1250,10.079
2.41,60,1300,10.079
2.41,60,1350,10.079
2.41,60,1400,10.079
2.41,60,1450,10.079
2.41,60,1500,10.079
2.42,55,900,14.568
2.42,55,950,14.568
2.42,55,1000,14.568
2.42,55,1050,14.568
2.42,55,1100,14.568
2.42,55,1150,14.568
2.42,55,1200,14.568
2.42,55,1250,14.568
2.42,55,1300,14.568
2.42,55,1350,14.568
2.42,55,1400,14.568
2.42,55,1450,14.568
2.42,55,1500,14.568
2.42,60,900,10.016
2.42,60,950,10.016
2.42,60,1000,10.016
2.42,60,1050,10.016
2.42,60,1100,10.016
2.42,60,1150,10.016
2.42,60,1200,10.016
2.42,60,1250,10.016
2.42,60,1300,10.016
2.42,60,1350,10.016
2.42,60,1400,10.016
2.42,60,1450,10.016
2.42,60,1500,10.016
2.44,55,900,14.24
2.44,55,950,14.24
2.44,55,1000,14.24
2.44,55,1050,14.24
2.44,55,1100,14.24
2.44,55,1150,14.24
2.44,55,1200,14.24
2.44,55,1250,14.24
2.44,55,1300,14.24
2.44,55,1350,14.24
2.44,55,1400,14.24
2.44,55,1450,14.24
2.44,55,1500,14.24
2.44,60,900,9.956
2.44,60,950,9.956
2.44,60,1000,9.956
2.44,60,1050,9.956
2.44,60,1100,9.956
2.44,60,1150,9.956
2.44,60,1200,9.956
2.44,60,1250,9.956
2.44,60,1300,9.956
2.44,60,1350,9.956
2.44,60,1400,9.956
2.44,60,1450,9.956
2.44,60,1500,9.956
2.46,55,900,13.941
2.46,55,950,13.941
2.46,55,1000,13.941
2.46,55,1050,13.941
2.46,55,1100,13.941
2.46,55,1150,13.941
2.46,55,1200,13.941
2.46,55,1250,13.941
2.46,55,1300,13.941
2.46,55,1350,13.941
2.46,55,1400,13.941
2.46,55,1450,13.941
2.46,55,1500,13.941
2.46,60,900,9.9
2.46,60,950,9.9
2.46,60,1000,9.9
2.46,60,1050,9.9
2.46,60,1100,9.9
2.46,60,1150,9.9
2.46,60,1200,9.9
2.46,60,1250,9.9
2.46,60,1300,9.9
2.46,60,1350,9.9
2.46,60,1400,9.9
2.46,60,1450,9.9
2.46,60,1500,9.9
2.48,55,900,13.67
2.48,55,950,13.67
2.48,55,1000,13.67
2.48,55,1050,13.67
2.48,55,1100,13.67
2.48,55,1150,13.67
2.48,55,1200,13.67
2.48,55,1250,13.67
2.48,55,1300,13.67
2.48,55,1350,13.67
2.48,55,1400,13.67
2.48,55,1450,13.67
2.48,55,1500,13.67
2.48,60,900,9.846
2.48,60,950,9.846
2.48,60,1000,9.846
2.48,60,1050,9.846
2.48,60,1100,9.846
2.48,60,1150,9.846
2.48,60,1200,9.846
2.48,60,1250,9.846
2.48,60,1300,9.846
2.48,60,1350,9.846
2.48,60,1400,9.846
2.48,60,1450,9.846
2.48,60,1500,9.846
2.5,55,900,13.421
2.5,55,950,13.421
2.5,55,1000,13.421
2.5,55,1050,13.421
2.5,55,1100,13.421
2.5,55,1150,13.421
2.5,55,1200,13.421
2.5,55,1250,13.421
2.5,55,1300,13.421
2.5,55,1350,13.421
2.5,55,1400,13.421
2.5,55,1450,13.421
2.5,55,1500,13.421
2.5,60,900,9.795
2.5,60,950,9.795
2.5,60,1000,9.795
2.5,60,1050,9.795
2.5,60,1100,9.795
2.5,60,1150,9.795
2.5,60,1200,9.795
2.5,60,1250,9.795
2.5,60,1300,9.795
2.5,60,1350,9.795
2.5,60,1400,9.795
2.5,60,1450,9.795
2.5,60,1500,9.795
2.52,55,900,13.193
2.52,55,950,13.193
2.52,55,1000,13.193
2.52,55,1050,13.193
2.52,55,1100,13.193
2.52,55,1150,13.193
2.52,55,1200,13.193
2.52,55,1250,13.193
2.52,55,1300,13.193
2.52,55,1350,13.193
2.52,55,1400,13.193
2.52,55,1450,13.193
2.52,55,1500,13.193
2.52,60,900,9.748
2.52,60,950,9.748
2.52,60,1000,9.748
2.52,60,1050,9.748
2.52,60,1100,9.748
2.52,60,1150,9.748
2.52,60,1200,9.748
2.52,60,1250,9.748
2.52,60,1300,9.748
2.52,60,1350,9.748
2.52,60,1400,9.748
2.52,60,1450,9.748
2.52,60,1500,9.748
2.53,55,900,12.982
2.53,55,950,12.982
2.53,55,1000,12.982
2.53,55,1050,12.982
2.53,55,1100,12.982
2.53,55,1150,12.982
2.53,55,1200,12.982
2.53,55,1250,12.982
2.53,55,1300,12.982
2.53,55,1350,12.982
2.53,55,1400,12.982
2.53,55,1450,12.982
2.53,55,1500,12.982
2.53,60,900,9.702
2.53,60,950,9.702
2.53,60,1000,9.702
2.53,60,1050,9.702
2.53,60,1100,9.702
2.53,60,1150,9.702
2.53,60,1200,9.702
2.53,60,1250,9.702
2.53,60,1300,9.702
2.53,60,1350,9.702
2.53,60,1400,9.702
2.53,60,1450,9.702
2.53,60,1500,9.702
2.55,55,900,12.788
2.55,55,950,12.788
2.55,55,1000,12.788
2.55,55,1050,12.788
2.55,55,1100,12.788
2.55,55,1150,12.788
2.55,55,1200,12.788
2.55,55,1250,12.788
2.55,55,1300,12.788
2.55,55,1350,12.788
2.55,55,1400,12.788
2.55,55,1450,12.788
2.55,55,1500,12.788
2.55,60,900,9.659
2.55,60,950,9.659
2.55,60,1000,9.659
2.55,60,1050,9.659
2.55,60,1100,9.659
2.55,60,1150,9.659
2.55,60,1200,9.659
2.55,60,1250,9.659
2.55,60,1300,9.659
2.55,60,1350,9.659
2.55,60,1400,9.659
2.55,60,1450,9.659
2.55,60,1500,9.659
2.57,50,900,81.559
2.57,50,950,81.559
2.57,50,1000,81.559
2.57,50,1050,81.559
2.57,50,1100,81.559
2.57,50,1150,81.559
2.57,50,1200,81.559
2.57,50,1250,81.559
2.57,50,1300,81.559
2.57,50,1350,81.559
2.57,50,1400,81.559
2.57,50,1450,81.559
2.57,50,1500,81.559
2.57,55,900,12.608
2.57,55,950,12.608
2.57,55,1000,12.608
2.57,55,1050,12.608
2.57,55,1100,12.608
2.57,55,1150,12.608
2.57,55,1200,12.608
2.57,55,1250,12.608
2.57,55,1300,12.608
2.57,55,1350,12.608
2.57,55,1400,12.608
2.57,55,1450,12.608
2.57,55,1500,12.608
2.57,60,900,9.618
2.57,60,950,9.618
2.57,60,1000,9.618
2.57,60,1050,9.618
2.57,60,1100,9.618
2.57,60,1150,9.618
2.57,60,1200,9.618
2.57,60,1250,9.618
2.57,60,1300,9.618
2.57,60,1350,9.618
2.57,60,1400,9.618
2.57,60,1450,9.618
2.57,60,1500,9.618
2.59,50,900,48.868
2.59,50,950,48.868
2.59,50,1000,48.868
2.59,50,1050,48.868
2.59,50,1100,48.868
2.59,50,1150,48.868
2.59,50,1200,48.868
2.59,50,1250,48.868
2.59,50,1300,48.868
2.59,50,1350,48.868
2.59,50,1400,48.868
2.59,50,1450,48.868
2.59,50,1500,48.868
2.59,55,900,12.44
2.59,55,950,12.44
2.59,55,1000,12.44
2.59,55,1050,12.44
2.59,55,1100,12.44
2.59,55,1150,12.44
2.59,55,1200,12.44
2.59,55,1250,12.44
2.59,55,1300,12.44
2.59,55,1350,12.44
2.59,55,1400,12.44
2.59,55,1450,12.44
2.59,55,1500,12.44
2.59,60,900,9.579
2.59,60,950,9.579
2.59,60,1000,9.579
2.59,60,1050,9.579
2.59,60,1100,9.579
2.59,60,1150,9.579
2.59,60,1200,9.579
2.59,60,1250,9.579
2.59,60,1300,9.579
2.59,60,1350,9.579
2.59,60,1400,9.579
2.59,60,1450,9.579
2.59,60,1500,9.579
2.61,50,900,38.356
2.61,50,950,38.356
2.61,50,1000,38.356
2.61,50,1050,38.356
2.61,50,1100,38.356
2.61,50,1150,38.356
2.61,50,1200,38.356
2.61,50,1250,38.356
2.61,50,1300,38.356
2.61,50,1350,38.356
2.61,50,1400,38.356
2.61,50,1450,38.356
2.61,50,1500,38.356
2.61,55,900,12.284
2.61,55,950,12.284
2.61,55,1000,12.284
2.61,55,1050,12.284
2.61,55,1100,12.284
2.61,55,1150,12.284
2.61,55,1200,12.284
2.61,55,1250,12.284
2.61,55,1300,12.284
2.61,55,1350,12.284
2.61,55,1400,12.284
2.61,55,1450,12.284
2.61,55,1500,12.284
2.61,60,900,9.543
2.61,60,950,9.543
2.61,60,1000,9.543
2.61,60,1050,9.543
2.61,60,1100,9.543
2.61,60,1150,9.543
2.61,60,1200,9.543
2.61,60,1250,9.543
2.61,60,1300,9.543
2.61,60,1350,9.543
2.61,60,1400,9.543
2.61,60,1450,9.543
2.61,60,1500,9.543
2.62,50,900,32.729
2.62,50,950,32.729
2.62,50,1000,32.729
2.62,50,1050,32.729
2.62,50,1100,32.729
2.62,50,1150,32.729
2.62,50,1200,32.729
2.62,50,1250,32.729
2.62,50,1300,32.729
2.62,50,1350,32.729
2.62,50,1400,32.729
2.62,50,1450,32.729
2.62,50,1500,32.729
2.62,55,900,12.138
2.62,55,950,12.138
2.62,55,1000,12.138
2.62,55,1050,12.138
2.62,55,1100,12.138
2.62,55,1150,12.138
2.62,55,1200,12.138
2.62,55,1250,12.138
2.62,55,1300,12.138
2.62,55,1350,12.138
2.62,55,1400,12.138
2.62,55,1450,12.138
2.62,55,1500,12.138
2.62,60,900,9.508
2.62,60,950,9.508
2.62,60,1000,9.508
2.62,60,1050,9.508
2.62,60,1100,9.508
2.62,60,1150,9.508
2.62,60,1200,9.508
2.62,60,1250,9.508
2.62,60,1300,9.508
2.62,60,1350,9.508
2.62,60,1400,9.508
2.62,60,1450,9.508
2.62,60,1500,9.508
2.64,50,900,29.107
2.64,50,950,29.107
2.64,50,1000,29.107
2.64,50,1050,29.107
2.64,50,1100,29.107
2.64,50,1150,29.107
2.64,50,1200,29.107
2.64,50,1250,29.107
2.64,50,1300,29.107
2.64,50,1350,29.107
2.64,50,1400,29.107
2.64,50,1450,29.107
2.64,50,1500,29.107
2.64,55,900,12.001
2.64,55,950,12.001
2.64,55,1000,12.001
2.64,55,1050,12.001
2.64,55,1100,12.001
2.64,55,1150,12.001
2.64,55,1200,12.001
2.64,55,1250,12.001
2.64,55,1300,12.001
2.64,55,1350,12.001
2.64,55,1400,12.001
2.64,55,1450,12.001
2.64,55,1500,12.001
2.64,60,900,9.474
2.64,60,950,9.474
2.64,60,1000,9.474
2.64,60,1050,9.474
2.64,60,1100,9.474
2.64,60,1150,9.474
2.64,60,1200,9.474
2.64,60,1250,9.474
2.64,60,1300,9.474
2.64,60,1350,9.474
2.64,60,1400,9.474
2.64,60,1450,9.474
2.64,60,1500,9.474
2.66,50,900,26.533
2.66,50,950,26.533
2.66,50,1000,26.533
2.66,50,1050,26.533
2.66,50,1100,26.533
2.66,50,1150,26.533
2.66,50,1200,26.533
